Zeit,Status
112.453,1
207.437,1
159.764,1
210.699,1
102.331,1
101.901,1
141.158,1
88.91,1
96.884,1
194.788,1
187.219,1
159.518,1
175.623,1
200.314,1
193.803,1
124.97,1
166.789,1
178.653,1
180.802,1
187.282,1
139.357,1
162.398,1
107.76,1
105.625,1
173.334,1
160.37,1
130.141,1
187.934,1
167.816,1
152.014,1
117.677,1
179.748,1
198.094,1
163.631,1
118.041,1
124.736,1
239.601,1
123.172,1
104.698,1
92.321,1
119.047,1
165.904,1
145.154,1
114.496,1
109.773,1
86.281,1
173.226,1
218.331,1
110.865,1
175.542,1
